ID,Incident Type, Date Reported, Time and Date Occurred,Address,latitude,longitude, Disposition
168,Suspicious Drugs, 1330 09/20/2013, 1330 09/20/2013," 39 Biel Road West, NJ",40.478942,-74.432261, Closed Case
169,Simple Assault, 2242 09/21/2013, 1533 09/21/2013," Sutphen Road, NJ",40.514854,-74.464862, Closed Case
170,Simple Assault, 1609 09/21/2013, 1609 09/21/2013," 1 Scarlet Knight Way, NJ",40.513197,-74.464098, Open Case
171,Obstruction/Resisting/Under/Age Alcohol, 1621 09/21/2013, 1621 09212013," Fitch Road, NJ",39.077116,-74.817915, Arrest
172,Theft, 1701 09/21/2013, 1900-2000 09/20/2013," 50 Biel Road, NJ",40.478553,-74.432276, Open Case
173,Simple Assault, 1743 09/21/2013, 1700 09/21/2013," River Road, NJ",40.817115,-73.980687, Open Case
174,Aggravated Assault, 1739 09/21/2013, 1730 09/21/2013," Fitch Road, NJ",39.077116,-74.817915, Arrest
175,Theft, 1857 09/21/2013, 1840 09/21/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
176,Criminal Mischief, 2024 09/21/2013, 2000-2020 09/21/2013," 590 George Street, NJ",40.503713,-74.448559, Open Case
177,Suspicious Drugs, 2203 09/21/2013, 2203 09/21/2013," 91 Gibbons Circle, NJ",40.485277,-74.432159, Unfounded
178,Criminal Mischief, 2230 09/21/2013, 2230 09/21/2013," 617 George Street, NJ",40.502700,-74.446712, Open Case
179,Suspicious Drugs, 2355 09/21/2013, 2355 09/21/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Unfounded
180,Suspicious Drugs, 0152 09/21/2013, 0152 09/21/2013," 105 Joyce Kilmer Ave, NJ",40.489263,-74.451345, Open Case
181,Criminal Mischief, 1016 09/22/2013, 1016 09/22/2013," 93 Gibbons Circle, NJ",40.486322,-74.431708, Open Case
182,Theft, 1605 09/21/2013, 1605 09/21/2013," 126 College Ave, NJ",40.502910,-74.452141, Open Case
183,Criminal Mischief, 0945 09/23/2013, 2330 09/23/2013," 611 George Street, NJ",40.503592,-74.448256, Open Case
184,Poss CDS/ Poss Paraph, 0928 09/23/2013, 0902 09/23/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Open Case
185,Theft, 1316 09/23/2013, 1316 09/23/2013," 34 Biel Road West, NJ",40.478444,-74.432011, Unfounded
186,Criminal Mischief, 0027 09/24/2013, 1700 09/19 - 1000 09/20/2013," 151 Centennial Ave, NJ",40.541833,-74.499135, Open Case
187,Theft, 2010 09/23/2013, 2010 09/23/2013," 75 Hamilton Street, NJ",40.499493,-74.446921, Open Case
188,Harassment (DV), 2222 09/23/2013, 1430 09/10 - 1843 09/23/2013," 99 Davidson Road, NJ",40.524863,-74.458820, Open Case
189,Theft, 2010 09/23/2013, 0000 - 0300 08/28/2013," 186 Davidson Road, NJ",40.528240,-74.465099, Open Case
190,Theft, 2150 09/23/2013, 2150 09/23/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
191,Harassment, 2338 09/23/2013, 2145 09/23/2013," 125 College Ave, NJ",40.502633,-74.451276, Closed Case
192,Suspicious Drugs, 0021 09/24/2013, 0021 09/24/2013," 48 Biel Road W, NJ",40.478545,-74.429792, Unfounded
193,Poss CDS/ Poss Paraph/Obstruction, 0444 09/24/2013, 0115 09242013," 47 Avenue E, NJ",40.655430,-74.122520, Arrest
194,Theft, 1530 9/24/2013, 1500-1525 09/24/2013," 7 Chapel Drive, NJ",40.536088,-74.579712, Unfounded
195,Theft, 1612 09/24/2013, 1350-1450 09/24/2013," 33 Livingston Ave, NJ",40.492800,-74.444958, Open Case
196,Theft, 1702 09/24/2013,9/24/2013," 84 Joyce Kilmer Ave, NJ",40.523391,-74.437402, Open Case
197,Theft, 1850 09/24/2013, 2000 09/21 - 1515 09/24/2013," 28 Easton Ave, NJ",40.496617,-74.446624, Open Case
198,Theft, 1918 09/24/2013, 1918 09/24/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
199,Criminal Mischief/Theft, 2208 09/24/2013, 2110 09/24/2013," 91 Gibbons Circle, NJ",40.485277,-74.432159, Open Case
200,Theft, 0117 09/25/2013, 2245 09/24 - 0000 09/25//2013," 169 College Ave, NJ",40.504402,-74.453090, Open Case
201,Theft, 0136 09/25/2013, 0026 09/25/2013," 619 George Street, NJ",40.502712,-74.446724, Arrest
202,Possession CDS, 1111 09/25/2013, 0900-1100 09/24/2013," 65 Avenue E, NJ",40.655812,-74.121906, Open Case
203,Theft, 1154 09/25/2013, 1154 09/25/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Arrest
204,Possession CDS/Arrest on Warrants, 1446 09/24/2013, 1200 09/11 - 0900 09/25/2013," 65 Dudley Road, NJ",40.479616,-74.434006, Open Case
205,Burglary/Theft, 1857 09/25/2013, 1857 09/25/2013," 610 Taylor Road, NJ",40.525499,-74.460992, Open Case
206,Theft, 2348 09252013, 1730 09/24/2013," 125 College Ave, NJ",40.502633,-74.451276, Open Case
207,Theft, 2227 09/25/2013, 227 09/25/2013," 177 Ryders Lane, NJ",40.460370,-74.425468, Open Case
208,Theft, 2231 09/25/2013, 2231 09/25/2013," 36 Jones Ave, NJ",40.484718,-74.440108, Unfounded
209,Suspicious Drugs, 0111 09/26/2013, 2300 09/25 - 0000 09/26/2013," 100 Davidson Road, NJ",40.526901,-74.462342, Open Case
210,Theft, 1021 09/26/2013, 1021 09/26/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
211,Theft, 1030 09/26/2013, 09/24 - 09'15/2013," 191 Ryders Lane, NJ",40.481737,-74.433215, Open Case
212,Theft, 1239 09/26/2013, 09/25/- 09/26/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
213,Theft, 1350 09/26/2013, 1350  09/26/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Open Case
214,False Public Alarm, 2305 09/26/2013, 1930 23/50," 290 George Street, NJ",40.491800,-74.443010, Open Case
215,Simple Asault, 2106 09/26/2013, 2030-2100 09/26/2013," 62 Road 3, NJ",40.521241,-74.431272, Open Case
216,Burglary, 2321 09/27/2013, 1630-1730 09/25/2013," 85 Rockafeller Road, NJ",40.525539,-74.438223, Open Case
217,Harassment, 0152 09/27/2013, 0152 09/27/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Unfounded
218,Suspicious Drugs, 1020 09/27/2013, 1315 09/16 - 0430 09/17/2013," 510 George Street, NJ",40.500805,-74.445716, Open Case
219,Criminal Mischief/Theft, 2014 09/27/2013, 2014 09/27/2013," 510 George Street, NJ",40.500805,-74.445716, Unfounded
220,Suspicious Drugs, 1253 09/27/2013, 1130 09/23 - 0500 09/24/2013," 100 College Ave, NJ",40.501759,-74.450827, Open Case
221,Theft, 1339 09/27/2013, 1900 09/19 - 1200 09/27/2013," 606 Marvin Lane, NJ",40.519879,-74.454819, Open Case
222,Theft, 1443 09/27/2013, 1530 27/59," 108 Frelinghuysen Road, NJ",40.522367,-74.464725, Closed Case
223,Simple Assault, 1650 09/27/2013, 1310-1435 0927/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
224,Theft, 1634 09/27/2013, 1606 09/27/2013," 49 Dudley Road, NJ",40.480075,-74.432244, Open Case
225,False Public Alarm, 1908 09/27/2013, 1615-1745 09/27/2013," Ecological Preserve Trail, NJ",40.058324,-74.405661, Open Case
226,Theft, 2018 09/27/2013, 1200-1850 09/27/2013," 165 Bevier Road, NJ",40.526992,-74.466730, Open Case
227,Criminal Mischief, 2147 09/27/2013, 0115 09/20/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
228,Sexual Assault, 2335 09/27/2013, 2230 09/27/2013," 1 Scarlet Knight Way, NJ",40.513197,-74.464098, Open Case
229,Simple Assault, 2248 09/27/2013, 2248 09/27/2013," 43 Dudley Road, NJ",40.480139,-74.432087, Unfounded
230,Suspicious Drugs, 0022 09/28/2013, 1430-2245 09/27/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
231,Theft, 0004 09/28/2013, 0004 09/28/2013," 117 College Ave, NJ",40.502390,-74.451035, Unfounded
232,Suspicious Drugs, 0024 09/28/2013, 0024 09/28/2013," 43 Dudley Road, NJ",40.480139,-74.432087, Unfounded
