ID,Incident Type, Date Reported, Time and Date Occurred,Address,latitude,longitude, Disposition
530,Criminal Mischief, 0442 11/02/2013, 2312 11/01/2013," 615 George Street, NJ",40.502688,-74.446701, Open Case
531,Defiant Trespassing, 0148 11/02/2013, 0015 11/02/2013," 118 Frelinghuysen Road, NJ",40.522367,-74.464725, Arrest
532,Simple Assault, 0601 11/02/2013, 1145 11/01 - 0000 11/02/2013," 52 College Ave, NJ",40.500651,-74.449311, Open Case
533,Simple Assault, 0353 11/02/2013, 0300 11/02/2013," 66 College Ave, NJ",40.500191,-74.449212, Open Case
534,Possession of a Weapon, 1439 11/02/2013, 1439 11/02/2013," 108 Frelinghuysen Road, NJ",40.522367,-74.464725, Arrest
535,Fraud, 1635 11/02/2013, 1500-1510 11/02/2013," 108 Frelinghuysen Road, NJ",40.522367,-74.464725, Open Case
536,Assault, 1612 11/02/2013, 1612 11/02/2013," 108 Frelinghuysen Road, NJ",40.522367,-74.464725, Open Case
537,Theft, 1729 11/02/2013, 1500-1600 11/02/2013," 1 Scarlet Knight Way, NJ",40.513197,-74.464098, Open Case
538,Assault/Theft, 2035 11/02/2013, 0120-0150 11/02/2013," 122 College Ave, NJ",40.502540,-74.451270, Open Case
539,Criminal Mischief, 0116 11/03/2013, 0110 11/03/2013," 124 College Ave, NJ",40.502492,-74.451183, Open Case
540,Theft, 1003 11/03/2013, 1003 11/03/2013," 28 Easton Ave, NJ",40.496617,-74.446624, Open Case
541,Harassment (DV), 1301 11/03/2013, 2259 11/02/2013," 47 Bevier Road, NJ",40.522330,-74.456103, Open Case
542,Criminal Mischief, 1343 11/03/2013, 1343 11/03/2013," 70 Joyce Kilmer Ave, NJ",40.490643,-74.449869, Open Case
543,Suspicious Drugs, 1454 11/03/2013, 1454 11/03/2013," 34 Biel Road W, NJ",40.478444,-74.432011, Unfounded
544,Theft, 2122 11/03/2013, 2300-2315 11/03/2013," 117 College Ave, NJ",40.502390,-74.451035, Open Case
545,Suspicious Drugs, 2056 11/03/2013, 2056 11/03/2013," 623 Marvin Lane, NJ",40.519831,-74.454829, Unfounded
546,Criminal Mischief, 2344 11/03/2013, 2130-2230 11/03/2013," 615 George Street, NJ",40.502688,-74.446701, Open Case
547,Disorderly Conduct, 2339 11/03/2013, 2140-2145 11/03/2013," 100 Davidson Road, NJ",40.526901,-74.462342, Open Case
548,Theft, 1256 11/04/2013, 1030-1040 11/04/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
549,Forgery, 1117 11/04/2013, 1117 11/04/2013," 581 Taylor Road, NJ",39.594496,-75.084295, Open Case
550,Criminal Trespass, 1222 11/04/2013, 0001 11/01/12013," 135 College Ave, NJ",40.502889,-74.451532, Open Case
551,Harassment, 1423 11/04/2013, 1423 11/04/2013," 1 Scarlet Knight Way, NJ",40.513197,-74.464098, Open Case
552,Lewdness, 1608 11/04/2013, 1608 11/04/2013," College Ave, NJ",40.502260,-74.450927, Open Case
553,Theft, 1749 11/04/2013, 1749 11/04/2013," 619 Bowser Road, NJ",40.521707,-74.458657, Open Case
554,Theft, 2034 11/04/2013, 2034 11/04/2013," 169 College Ave, NJ",40.504402,-74.453090, Open Case
555,Theft, 2150 11/04/2013, 0030 11/01/2013," 164 Easton Ave, NJ",40.499844,-74.454052, Open Case
556,Simple Assault, 0343 11/05/2013, 0600-0700 11/03/2013," 32 Bevier Road, NJ",40.524602,-74.461202, Open Case
557,Theft, 2204 11/04/2013, 1845-2000 11/04/2013," 656 Bartholomew Road, NJ",40.519529,-74.460885, Open Case
558,Theft, 0403 11/05/2013, 0015-2300 11/05/2013," 113 College Ave, NJ",40.502328,-74.450974, Open Case
559,Theft, 1025 11/05/2013, 0900 10/11 - 1730 10/30/2013," 89 French Street, NJ",40.493998,-74.451100, Open Case
560,Harassment, 1149 11/05/2013, 0030-0230 11/02/2013," 272 Hamilton Street, NJ",40.496140,-74.457393, Open Case
561,Theft, 1621 11/05/2013, 1203 11/05/2013," 671 Hoes Lane West, NJ",40.525149,-74.470615, Open Case
562,Theft, 1301 11/05/2013, 1600-1700 11/04/2013," 54 Joyce Kilmer Ave, NJ",40.521980,-74.434878, Open Case
563,Theft, 1425 11/05/2013, 1425 11/05/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
564,Theft, 1655 11/05/2013, 1700 10/31 - 0058 11/05/2013," 625 Marvin Lane, NJ",40.519831,-74.454829, Open Case
565,Theft, 0006 11/06/2013, 2200 10/30 - 1600 11/05/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
566,Possession of Drug Paraphernalia, 0224 11/06/2013, 0118 11/06/2013," Bishop and George, NJ",40.486383,-74.439076, Arrest
567,Theft, 1052 11/06/2013, 1030-1630 11/01/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Open Case
568,Lewdness, 1150 11/06/2013, 1150 11/06/2013," 89 George Street, NJ",40.448511,-74.385736, Arrest
569,Theft, 1420 11/06/2013, 1700 10/31 - 1000 11/04/2013," 45 Biel Road, NJ",40.478364,-74.431345, Open Case
570,Theft, 1346 11/06/2013, 1030 - 1100  11/05/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
571,Fraud, 1633 11/06/2013, 0800 10/18 - 1600 11/01/2013," 620 George Street, NJ",40.505028,-74.451048, Open Case
572,Theft, 1836 11/06/2013, 1500-1700 11/06/2013," 42 Biel Road West, NJ",40.478469,-74.430535, Open Case
573,Theft, 2221 11/06/2013, 1900 11/06/2013," 98 Brett Road, NJ",40.522259,-74.459850, Open Case
574,Theft, 0838 11/07/2013, 0838 11/07/2013," 112 Ryders Lane, NJ",40.471502,-74.422760, Open Case
575,Theft, 1528 11/07/2013, 1528 11/07/2013," 618 Allison Road, NJ",40.077299,-74.840921, Open Case
576,Possession of CDS, 1625 11/07/2013, 1625 11/07/2013," 43 Dudley Road, NJ",40.480139,-74.432087, Arrest
577,Theft, 1837 11/07/2013, 1600-1730 11/07/2013," 50 Biel Road, NJ",40.478553,-74.432276, Open Case
578,Criminal Mischief, 1601 11/08/2013, 1400 11/07/2013," 615 George Street, NJ",40.502688,-74.446701, Open Case
579,Possession of CDS, 0203 11/08/2013, 2329 11/08/2013," 28 Gibbons Circle, NJ",40.752967,-74.434740, Arrest
580,Suspicious Drugs, 0007 11/08/2013, 0007 11/08/2013," 55 Rockafeller Road, NJ",40.525539,-74.438223, Unfounded
581,Suspicious Drugs, 0013 11/08/2013, 0013 11/08/2013," 617 George Street, NJ",40.502700,-74.446712, Unfounded
582,Suspicious Drugs, 0027 11/08/2013, 0027 11/08/2013," 117 College Ave, NJ",40.502390,-74.451035, Unfounded
583,Under/age Possession of Alcohol, 0327 11/08/2013, 0216 11/08/2013," Hamilton and Union, NJ",40.709976,-74.287495, Arrest
584,Criminal Mischief, 1100 11/08/2013, 0800 11/01 - 0800 11/04/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Open Case
585,Harasment, 1040 11/08/20`3, 1040 11/08/2013," 96 Frelinghuysen Road, NJ",40.521488,-74.461562, Open Case
586,Theft, 1611 11/08/2013, 1030 10/28 - 1000 11/08/2013," 89 French Street, NJ",40.493998,-74.451100, Open Case
587,Burglary/Theft, 1642 11/08/2013, 1400 11/08/2013," 7 College Ave, NJ",40.497970,-74.447043, Open Case
588,Harassment, 1512 11/08/2013, 1512 11/08?2013," 125 Paterson Street, NJ",40.494526,-74.449619, Closed Case
589,Harassment, 1639 11/08/2013, 1622 11/08/2013," 169 College Ave, NJ",40.504402,-74.453090, Open Case
590,Theft, 1645 11/08/2013, 0038 10/27/2013," 142 Easton Ave, NJ",40.499514,-74.453214, Open Case
591,Harassment, 1659 11/08/2013, 1659 11/08/2013," 7 College Ave, NJ",40.497970,-74.447043, Closed Case
592,Theft, 1834 11/08/2013, 1000 - 1500 11/08/2013," 89 George Street, NJ",40.448511,-74.385736, Open Case
593,Theft, 2020 11/08/2013, 2020 11/08/2013," 51 Commercial Ave, NJ",40.488190,-74.438945, Closed Case
594,Assault, 0111 11/09/203, 0110 11/09/2013," 62 College Ave, NJ",40.500666,-74.449327, Open Case
595,Theft, 1519 11/09/2013, 1300-1430 11/09/2013," College & Hamilton St,, NJ",40.499028,-74.447664, Open Case
596,Assault, 0328 11/10/2013, 0012 11/10/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Open Case
597,Suspicious Drugs, 0110 11/10/2013, 0110 11/10/2013," 42 Biel Road West, NJ",40.478469,-74.430535, Unfounded
598,Criminal Mischief, 0656 11/10/2013, 0630-0656 11/10/2013," 126 College Ave, NJ",40.502910,-74.452141, Open Case
599,Suspicious Drugs, 2352 11/10/2013, 2352 11/10/2013," 125 College Ave, NJ",40.502633,-74.451276, Unfounded
600,Criminal Mischief, 1036 11/11/2013, 1036 11/11/2013," 53 Avenue E, NJ",40.655622,-74.122199, Open Case
601,Theft, 1605 11/11/2013, 1605 11/11/2013," 196 Davidson Road, NJ",40.528206,-74.466504, Open Case
602,Fraudulent Use of Credit Card, 1712 11/11/2013, 1400 11/07 - 0855 11/10/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
603,Theft, 1750 11/11/2013, 1900 11/06 - 1630 11/08/2013," 1 Scarlet Knight Way, NJ",40.513197,-74.464098, Open Case
604,Suspicious Drugs, 1635 11/11/2013, 1635 11/11/2013," 671 Hoes Lane West, NJ",40.525149,-74.470615, Open Case
605,Suspicious Drugs, 1805 11/11/2013, 1805 11/11/2013," 125 College Ave, NJ",40.502633,-74.451276, Unfounded
606,Suspicious Drugs, 1940 11/11/2013, 1940 11/11/2013," 611 George Street, NJ",40.503592,-74.448256, Unfounded
607,Theft, 2259 11/11/2013, 1300-1330 11/11/2013," 36 Bevier Road, NJ",40.524602,-74.461202, Open Case
608,Suspicious Drugs, 2255 11/11/2013, 2255 11/11/2013," 43 Dudley Road, NJ",40.480139,-74.432087, Unfounded
609,Poss CDS/Poss Drug Paraphernalia, 0357 11/12/2013, 0126 11/12/2013," 42 Bevier Road, NJ",40.524602,-74.461202, Arrest
610,Theft, 1207 11/12/2013, 1330 11/08 - 1800 11/11/2013," 126 College Ave, NJ",40.502910,-74.452141, Open Case
611,Theft, 1744 11/12/2013, 1400 11/12/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
612,Theft, 1517 11/1/2/2013, 0900 11/01 2200 11/09/2013," 590 George Street, NJ",40.503713,-74.448559, Open Case
613,Theft, 1450 11/12/2013, 1450 11/12/2013," 85 Avenue E, NJ",40.656481,-74.121299, Open Case
614,Harassment (DV), 2102 11/12/2013, 2102 11/12/2013," 100 Davidson Road, NJ",40.526901,-74.462342, Open Case
615,Theft, 2025 11/12/2013, 1400-1405 11/12/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
616,Theft, 0414 11/13/2013, 1149-1730 11/12/2013," 105 Joyce Kilmer Ave, NJ",40.489263,-74.451345, Open Case
617,Unlawful Possession of a Weapon, 2341 11/12/2013, 2341 11/12/2013," 620 Marvin Lane, NJ",40.519857,-74.454848, Arrest
618,Harassment (DV), 0312 11/13/2013, 1200 10/02 - 2304 11/12/2013," 7 Suydam Street, NJ",40.483828,-74.438922, Open Case
619,Suspicious Drugs, 2318 11/12/2013, 2318 11/12/2013," 15 Suydam Street, NJ",40.484025,-74.439244, Unfounded
620,Theft, 1431 11/13/2013, 2030 11/11 - 0930 11/12/2013," 131 George Street, NJ",40.486102,-74.438618, Open Case
621,Theft, 1531 11/13/2013, 1531 11/13/2013," 33 Davidson Road, NJ",40.525085,-74.454877, Unfounded
622,Suspicious Drugs, 0154 11/14/2013, 0154 11/14/2013," 173 Ryders Lane, NJ",40.460438,-74.425476, Unfounded
623,Theft, 1833 11/13/2013, 2100-2130 11/11/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
624,Theft, 2036 11/13/2013, 1935 11/13/2013," 50 Biel Road, NJ",40.478553,-74.432276, Open Case
625,Theft, 1857 11/13/2013, 1200-1300 11/08/2013," 604 Bartholomew Road, NJ",40.523408,-74.458721, Open Case
626,Theft, 1209 11/14/2013, 10/15-10/20/2013," 111 Davidson Road, NJ",40.525003,-74.455373, Open Case
627,Suspicious Drugs, 1221 11/14/2013, 1221 11/14/2013," 125 College Ave, NJ",40.502633,-74.451276, Unfounded
628,Identity Theft, 1319 11/14/2013, 1200 11/13/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Open Case
629,Theft, 1841 11/14/2013, 1000-1500 11/12/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
630,Theft, 1919 11/14/2013, 1500 10/16 - 1100 10/18/2013," 117 College Ave, NJ",40.502390,-74.451035, Open Case
631,Theft, 2119 11/14/2013, 1200 10/24 - 1200 11/07/2013," 32 Bevier Road, NJ",40.524602,-74.461202, Open Case
632,Possession of CDS, 2327 11/14/2013, 2225 11/14/2013," 117 College Ave, NJ",40.502390,-74.451035, Arrest
633,Possession of CDS, 0113 11/15/2013, 0400-0023 11/15/2013," 23 Avenue E, NJ",40.654783,-74.124154, Arrest
634,Assault , 0518 11/15/2013, 0012 11/15/2013," 173 Ryders Lane, NJ",40.460438,-74.425476, Open Case
